Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
157,Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP,2008,Centre technique de cooperation agricole et rurale (CTA ),Centre technique de cooperation agricole et rurale (CTA),Plant Health,,,,FR,Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP.pdf,Centre technique de cooperation agricole et rurale (CTA),Centre technique de cooperation agricole et rurale (CTA),Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP,Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP,Report,Rapport,Reporte
158,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry: An Alternative Livelihoods Project Proposal from Nature's Way,2006,Nature's Way Cooperative,Nature's Way Cooperative (Fiji) Limited,Plant Health,Fiji,Fiji,Fidji,EN,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry.pdf,Nature's Way Cooperative (Fiji) Limited,Nature's Way Cooperative (Fiji) Limited,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry: An Alternative Livelihoods Project Proposal from Nature's Way,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry: An Alternative Livelihoods Project Proposal from Nature's Way,Other,Autres,Otro
159,Institutionalizing and Scaling up SPS-Food Safety Capacity Capacity through a Food Safety Knowledge Network Pilot in Southeast Asia,2010,Les Bourquin; Dan Clay,Michigan State University,Food Safety,,,,EN,Institutionalizing and Scaling up SPS-Food Safety Capacity.pdf,Michigan State University,Michigan State University,Institutionalizing and Scaling up SPS-Food Safety Capacity Capacity through a Food Safety Knowledge Network Pilot in Southeast Asia,Institutionalizing and Scaling up SPS-Food Safety Capacity Capacity through a Food Safety Knowledge Network Pilot in Southeast Asia,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
160,"Integrated Approach to Food Safety, Plant and Animal Health:  National Biosecurity Capacity; Country Report of the Republic of Gambia",2009,Londa Vanderwal,Food and Agriculture Organization (FAO),SPS-General,Gambia,Gambia,Gambie,EN,Integrated Approach - Capacity Country Report of the Republic of Gambia.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),"Integrated Approach to Food Safety, Plant and Animal Health:  National Biosecurity Capacity; Country Report of the Republic of Gambia","Integrated Approach to Food Safety, Plant and Animal Health:  National Biosecurity Capacity; Country Report of the Republic of Gambia",Paper,Papier,Papel
161,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Kenya",2005,Nancy K. Gitonga,Food and Agriculture Organization (FAO),SPS-General,Kenya,Kenya,Kenya,EN,Integrated Approach - Capacity Country Report of the Republic of Kenya.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Kenya","Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Kenya",Paper,Papier,Papel
162,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Malawi",2005,Londa Vanderwal,Food and Agriculture Organization (FAO),SPS-General,Malawi,Malawi,Malawi,EN,Integrated Approach - Capacity Country Report of the Republic of Malawi.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Malawi","Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Malawi",Paper,Papier,Papel
163,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Socialist Republic of Viet Nam",2009,Ruth Frampton,Food and Agriculture Organization (FAO),SPS-General,Viet Nam,Viet Nam,Viet Nam,EN,Integrated Approach - Country Report of the Socialist Republic of Viet Nam.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Socialist Republic of Viet Nam","Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Socialist Republic of Viet Nam",Paper,Papier,Papel
164,Integrating economics with risk assessment to inform SPS decisions,2009,Clare Narrod ,International Food Policy Research Institute (IFPRI),SPS-General,,,,EN,Integrating economics with risk assessment to inform SPS decisions.pdf,International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),Integrating economics with risk assessment to inform SPS decisions,Integrating economics with risk assessment to inform SPS decisions,Other,Autres,Otro
165,Integration and Trade Sector (INT) activities on SPS related issues (June 2011),2011,Juliana Salles Almeida,Inter-American Development Bank (IDB),SPS-General,,,,EN,Integration and Trade Sector (INT) activities on SPS related issues (June 2011).pdf,Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),Integration and Trade Sector (INT) activities on SPS related issues (June 2011),Integration and Trade Sector (INT) activities on SPS related issues (June 2011),Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
166,Integration and Trade Sector (INT) activities on SPS related issues,2010,Juliana Salles Almeida,Inter-American Development Bank (IDB),SPS-General,,,,EN,Integration and Trade Sector (INT) activities on SPS related issues.pdf,Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),Integration and Trade Sector (INT) activities on SPS related issues,Integration and Trade Sector (INT) activities on SPS related issues,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
167,International Plant Protection Convention (New Revised Text 1997),1997,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),Plant Health,,,,EN,International Plant Protection Convention (New Revised Text) 1997.pdf,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (New Revised Text 1997),International Plant Protection Convention (New Revised Text 1997),Paper,Papier,Papel
168,International Trade and Food Safety - Economic Theory and Case Studies,2003,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),Food Safety,,,,EN,International Trade and Food Safety Economic Theory and Case Studies.pdf,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),International Trade and Food Safety - Economic Theory and Case Studies,International Trade and Food Safety - Economic Theory and Case Studies,Other,Autres,Otro
169,Intra-Africa Agricultural Trade: A South African Perspective,2006,Y. Daya; T.R. Ranoto and M.A Letsoalo,"Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)",SPS-General,South Africa,Sudáfrica,Afrique du Sud,EN,Intra-Africa Agricultural Trade - A South African Perspective.pdf,"Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)","Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)",Intra-Africa Agricultural Trade: A South African Perspective,Intra-Africa Agricultural Trade: A South African Perspective,Paper,Papier,Papel
170,Phytosanitary Capacity Evaluation Tool (PCE) - Information flyer,2011,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),Plant Health,,,,EN,IPPC-PCE_Flyer.pdf,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),Phytosanitary Capacity Evaluation Tool (PCE) - Information flyer,Phytosanitary Capacity Evaluation Tool (PCE) - Information flyer,,,
171,"Research for Development (R4D) Review - Issue 6, Plant Health Special",2011,International Institute for Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),Plant Health,,,,EN,Issue 6  IITA Research for Development (R4D) Review - Plant Health Special.pdf,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),"Research for Development (R4D) Review - Issue 6, Plant Health Special","Research for Development (R4D) Review - Issue 6, Plant Health Special",Other,Autres,Otro
172,ITC Project on Non-Tariff Measures,2010,Mondher Mimouni,International Trade Centre (ITC),SPS-General,,,,EN,ITC Project on Non-Tariff Measures.pdf,International Trade Centre (ITC),International Trade Centre (ITC),ITC Project on Non-Tariff Measures,ITC Project on Non-Tariff Measures,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
173,ITC's Programme on Non-Tariff Measures - Flyer,,International Trade Centre (ITC),International Trade Centre (ITC),SPS-General,,,,EN,ITC’S Programme on Non-Tariff Measures.pdf,International Trade Centre (ITC),International Trade Centre (ITC),ITC's Programme on Non-Tariff Measures - Flyer,ITC's Programme on Non-Tariff Measures - Flyer,Other,Autres,Otro
174,Joint Efforts on Seafood Safety - Case Study,2010,Consumer Goods Forum,SGS S.A.,Food Safety,,,,EN,Joint Efforts on Seafood Safety - Case Study.pdf,SGS S.A.,SGS S.A.,Joint Efforts on Seafood Safety - Case Study,Joint Efforts on Seafood Safety - Case Study,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
175,Linking Farmers to Markets - Exporting Malian Mangoes to Europe,2003,Morgane Danielou; Patrick Labaste; Jean-Michel Voisard,The World Bank,Food Safety,Mali,Malí,Mali,EN,Linking Farmers to Markets - Exporting Malian Mangoes to Europe.pdf,The World Bank,The World Bank,Linking Farmers to Markets - Exporting Malian Mangoes to Europe,Linking Farmers to Markets - Exporting Malian Mangoes to Europe,Paper,Papier,Papel
176,Livestock and Global Climate Change,2008,British Society of Animal Science,Cambridge University Press,SPS-General,,,,EN,Livestock and Global Climate Change.pdf,Cambridge University Press,Cambridge University Press,Livestock and Global Climate Change,Livestock and Global Climate Change,Report,Rapport,Reporte
177,Mainstreaming adaptation to climate change in the development process in Uganda,2005,Victor A. Orindi; Siri Eriksen,African Centre for Technology Studies (ACTS),Plant Health,Uganda,Uganda,Ouganda,EN,Mainstreaming adaptation to climate change in the development process in Uganda.pdf,African Centre for Technology Studies (ACTS),African Centre for Technology Studies (ACTS),Mainstreaming adaptation to climate change in the development process in Uganda,Mainstreaming adaptation to climate change in the development process in Uganda,Report,Rapport,Reporte
